,File,Duration (Sec),Text Length,Speaking Length (ms),Spealing Percentage
246,0XLKQME2ZJc_0066,1.9,5,1.3,0.6842105263157895
247,0XLKQME2ZJc_0067,1.9,4,1.4,0.7368421052631579
248,0XLKQME2ZJc_0068,1.8,6,1.7,0.9444444444444444
249,0XLKQME2ZJc_0069,3.9,5,3.0999999999999996,0.7948717948717948
250,0XLKQME2ZJc_0070,3.4,4,2.7,0.7941176470588236
251,0XLKQME2ZJc_0071,2.0,6,1.9,0.95
252,0XLKQME2ZJc_0072,5.8,9,2.0999999999999996,0.3620689655172413
253,0XLKQME2ZJc_0073,2.5,7,2.4,0.96
254,0XLKQME2ZJc_0074,2.7,8,2.2,0.8148148148148149
255,0XLKQME2ZJc_0075,1.6,5,1.2,0.7499999999999999
256,0XLKQME2ZJc_0076,2.1,5,1.4000000000000001,0.6666666666666667
257,0XLKQME2ZJc_0077,2.6,7,1.8,0.6923076923076923
258,0XLKQME2ZJc_0078,3.0,6,2.0,0.6666666666666666
259,0XLKQME2ZJc_0079,2.2,6,1.5000000000000002,0.6818181818181819
260,0XLKQME2ZJc_0080,4.0,9,2.7,0.675
261,0XLKQME2ZJc_0081,4.2,5,1.0999999999999992,0.2619047619047617
262,0XLKQME2ZJc_0082,2.2,5,1.9000000000000001,0.8636363636363636
263,0XLKQME2ZJc_0083,2.9,8,2.2,0.7586206896551725
264,0XLKQME2ZJc_0084,3.0,4,1.9,0.6333333333333333
265,0XLKQME2ZJc_0085,3.3,5,2.8000000000000003,0.8484848484848486
266,0XLKQME2ZJc_0086,2.3,5,1.9,0.8260869565217391
267,0XLKQME2ZJc_0087,2.0,5,1.9,0.95
268,0XLKQME2ZJc_0088,1.4,6,1.2,0.8571428571428572
269,0XLKQME2ZJc_0089,2.5,6,1.5999999999999999,0.6399999999999999
270,0XLKQME2ZJc_0090,3.2,7,2.4000000000000004,0.7500000000000001
271,0XLKQME2ZJc_0091,3.6,8,1.4,0.38888888888888884
272,0XLKQME2ZJc_0092,3.9,5,2.4999999999999996,0.641025641025641
273,0XLKQME2ZJc_0093,2.3,6,1.5999999999999999,0.6956521739130435
274,0XLKQME2ZJc_0094,2.9,8,2.0,0.6896551724137931
275,0XLKQME2ZJc_0095,3.3,6,2.9,0.8787878787878788
276,0XLKQME2ZJc_0096,4.3,6,1.9,0.4418604651162791
277,0XLKQME2ZJc_0097,2.4,4,1.4999999999999998,0.6249999999999999
278,0XLKQME2ZJc_0098,3.9,6,2.2,0.5641025641025642
279,0XLKQME2ZJc_0099,6.4,6,2.600000000000001,0.4062500000000001
280,0XLKQME2ZJc_0100,2.2,5,1.9000000000000001,0.8636363636363636
281,0XLKQME2ZJc_0101,1.8,4,1.5,0.8333333333333333
282,0XLKQME2ZJc_0102,2.8,6,2.5999999999999996,0.9285714285714285
283,0XLKQME2ZJc_0103,2.8,6,2.1999999999999997,0.7857142857142857
284,0XLKQME2ZJc_0104,2.9,5,2.0,0.6896551724137931
285,0XLKQME2ZJc_0105,5.1,7,2.0999999999999996,0.4117647058823529
286,0XLKQME2ZJc_0106,3.1,7,1.8999999999999997,0.6129032258064515
287,0XLKQME2ZJc_0107,5.1,6,2.5999999999999996,0.5098039215686274
288,0XLKQME2ZJc_0108,3.3,5,2.4,0.7272727272727273
289,0XLKQME2ZJc_0109,3.6,6,2.7,0.75
290,0XLKQME2ZJc_0110,5.7,6,2.9000000000000004,0.5087719298245614
291,0XLKQME2ZJc_0111,1.9,4,1.7,0.8947368421052632
292,0XLKQME2ZJc_0112,3.7,4,2.2,0.5945945945945946
293,0XLKQME2ZJc_0113,7.0,9,2.6,0.37142857142857144
294,0XLKQME2ZJc_0114,1.9,6,1.7,0.8947368421052632
295,0XLKQME2ZJc_0115,3.0,6,2.6999999999999997,0.8999999999999999
296,0XLKQME2ZJc_0116,2.6,7,2.0,0.7692307692307692
297,0XLKQME2ZJc_0117,3.6,9,3.3,0.9166666666666666
298,0XLKQME2ZJc_0118,3.4,10,2.6999999999999997,0.7941176470588235
299,0XLKQME2ZJc_0119,3.9,4,1.2999999999999998,0.3333333333333333
300,0XLKQME2ZJc_0120,2.9,5,2.2,0.7586206896551725
301,0XLKQME2ZJc_0121,3.0,4,1.6,0.5333333333333333
302,0XLKQME2ZJc_0122,3.3,4,1.0999999999999999,0.3333333333333333
303,0XLKQME2ZJc_0123,5.2,6,2.0999999999999996,0.40384615384615374
304,0XLKQME2ZJc_0124,4.7,10,2.7,0.574468085106383
305,0XLKQME2ZJc_0125,4.0,5,1.9000000000000004,0.4750000000000001
306,0XLKQME2ZJc_0126,5.3,8,3.5999999999999996,0.6792452830188679
307,0XLKQME2ZJc_0127,3.4,7,2.3,0.676470588235294
308,0XLKQME2ZJc_0128,3.1,9,2.5000000000000004,0.806451612903226
309,0XLKQME2ZJc_0129,3.5,7,2.8000000000000007,0.8000000000000002
310,0XLKQME2ZJc_0130,3.3,12,2.8999999999999995,0.8787878787878787
311,0XLKQME2ZJc_0131,3.6,7,2.1,0.5833333333333334
312,0XLKQME2ZJc_0132,5.0,7,2.3,0.45999999999999996
313,0XLKQME2ZJc_0133,1.5,5,1.4,0.9333333333333332
314,0XLKQME2ZJc_0134,3.3,7,2.9,0.8787878787878788
315,0XLKQME2ZJc_0135,3.1,8,2.5,0.8064516129032258
316,0XLKQME2ZJc_0136,2.8,8,2.6999999999999997,0.9642857142857143
317,0XLKQME2ZJc_0137,3.1,8,2.8,0.9032258064516128
318,0XLKQME2ZJc_0138,3.8,9,2.8,0.7368421052631579
319,0XLKQME2ZJc_0139,2.8,6,1.8,0.6428571428571429
320,0XLKQME2ZJc_0140,4.1,8,3.099999999999999,0.7560975609756097
321,0XLKQME2ZJc_0141,3.0,8,2.7,0.9
322,0XLKQME2ZJc_0142,4.1,9,2.6,0.6341463414634148
323,0XLKQME2ZJc_0143,3.2,6,2.6,0.8125
324,0XLKQME2ZJc_0144,2.5,4,1.3,0.52
325,0XLKQME2ZJc_0145,2.4,6,2.1999999999999997,0.9166666666666666
326,0XLKQME2ZJc_0146,4.9,7,2.2,0.4489795918367347
327,0XLKQME2ZJc_0147,3.2,9,2.7,0.84375
328,0XLKQME2ZJc_0148,2.3,5,1.6999999999999997,0.7391304347826086
329,0XLKQME2ZJc_0149,3.5,6,1.9999999999999998,0.5714285714285714
